slack_channel,slack_channel_visible,shopify_store_domain,shopify_shop_name,shopify_aliases,labelogics_account_id,labelogics_account_name,labelogics_aliases,match_confidence,notes
kranken,no,,,,,,,, 
akimbo-anatafulfillment,no,,,,,,,, 
luxmery-fulfillment,no,,,,,,,, 
bamboo_cs,no,,,,,,,, 
mule-deer-anatafulfillment,no,,,,,,,, 
pikora-anatafulfillment2025611,no,,,,,,,, 
color-by-feliks-anatafulfillment,no,,,,,,,, 
fire-in-a-bottle-anatafulfillment,no,,,,,,,, 
cloud9_anatafulfıllment,no,,,,,,,,confirm exact spelling if needed
anata-wanderlost,no,,,,,,,, 
puptale-anatafulfillment,no,,,,,,,, 
asteroid-ointment-anata-fulfillment,no,,,,,,,, 
bambooave_anata3pl,no,,,,,,,, 
chirag_anatafulfill,no,,,,,,,, 
drink-mix-anata-fulfillment,no,,,,,,,, 
onenitestands-anatafulfillment,yes,,,,,,,,currently visible to Slack bot
pikora-anatafulfillment,no,,,,,,,, 
recusa-lounge-anatafulfillment,no,,,,,,,, 
xstance-anata-fulfillment,no,,,,,,,, 
